node,vip,rf_imp,logp,lasso
BAG4,0.391205135,0.003765678,0.327789854,0
BAG5,0.163197169,0.001381141,0.039846681,0
BAG6,0.504775335,0.005397883,0.445814041,0
BAHD1,0.159070665,4.31E-18,0.073856407,0
BAIAP2,0.534969244,0.002736862,0.488324763,0
BAIAP2L1,0.426634332,2.40E-19,0.277697757,0
BAIAP2L2,0.277453626,4.79E-19,0.435459526,0
BANF2,0.341849141,0,0.340944101,0
BARD1,0.379697776,0.002188137,0.23557577,0
BATF2,0.385552686,4.01E-18,0.282952258,0
BATF3,0.258201265,4.07E-18,0.105098597,0
BAZ2B,0.152226852,5.87E-18,0.117791903,0
BBC3,0.468334343,0.001538946,0.241901711,0
BBOX1,0.240621034,0.001004257,0.189067206,0
BBS2,0.395465617,0.00091565,0.218686856,0
BCAM,0.502000375,0.000947501,0.535592176,0
BCAR1,0.140909541,0.000992672,0.023584581,0
BCAR3,0.56356776,0.002470737,0.48846674,0
BCAS2,0.082530683,0.002507529,0.004211239,0
BCL11A,0.482411551,0.00129308,0.353228973,0
BCL2A1,0.268571814,0.000254868,0.039413128,0
BCL2L1,0.26703772,0.001295757,0.106446714,0
BCL2L11,0.244517581,0.000254868,0.031270899,0
BCL2L13,0.10444941,4.79E-18,0.020822217,0
BCL2L15,0.098343344,0.000703983,0.048978146,0
BCL2L2,0.141591658,0.000231309,0.02901605,0
BCL6,0.198400889,0.000265832,0.055959722,0
BCL6B,0.384155372,0.003511569,0.041084216,0
BECN1,0.046145174,0.002308163,1.46E-06,0
BEGAIN,0.263939617,0.00026813,0.271392657,0
BEND2,0.361102926,0,0.245784962,0
BEND3,0.450240317,0.000782291,0.406531206,0
BEND5,0.601893283,0.001304068,0.611739083,0
BEND7,0.470425076,1.01E-17,0.213959916,0
BEST2,0.103515335,0,0.019481075,0
BEST3,0.025958942,4.19E-19,0.113846589,0
BET1,0.153478825,0,0.043207244,0
BEX1,0.143433355,0.001023095,0.39727222,0
BEX2,0.150936455,0.002099048,0.116686627,0
BEX3,0.078861781,6.53E-18,0.019148262,0
BFAR,0.480289932,0.001423957,0.201334504,0
BFSP2,0.154664891,1.20E-19,0.013530524,0
BGLAP,0.22027874,0.002710901,0.206009798,0
BHLHA9,0.046286693,0.001866802,0.035892493,0
BHLHB9,0.378059326,0.000945309,0.266732647,0
BHLHE40,0.259686352,0.002363349,0.138236062,0
BHMT2,0.722129979,0.001861367,0.501173886,0
BICD2,0.579052067,5.33E-18,0.446134746,0
BICDL2,0.354700217,0.002623129,0.286507988,0
BICRAL,0.114605431,1.20E-19,0.008991939,0
BID,0.254422421,0.000419782,0.076907734,0
BIK,0.499089807,0.001150874,0.489845097,0
BIN3,0.433069488,0.002647905,0.333226406,0
BIRC2,0.330207418,0.001195234,0.070343136,0
BIRC6,0.063947363,9.11E-18,0.010624788,0
BIRC7,0.33437475,0.003464645,0.375688496,0
